db_id,uniprot_accession,uniprot_id
DB00001,P00734,THRB_HUMAN
DB00006,P00734,THRB_HUMAN
DB00007,P30968,GNRHR_HUMAN
DB00010,Q02643,GHRHR_HUMAN
DB00014,P22888,LSHR_HUMAN
DB00017,P30988,CALCR_HUMAN
DB00035,P37288,V1AR_HUMAN
DB00035,P47901,V1BR_HUMAN
DB00050,P22888,LSHR_HUMAN
DB00050,P30968,GNRHR_HUMAN
DB00067,P37288,V1AR_HUMAN
DB00067,P30518,V2R_HUMAN
DB00067,P47901,V1BR_HUMAN
DB00091,P08183,MDR1_HUMAN
DB00091,Q96LZ3,CANB2_HUMAN
DB00093,P37288,V1AR_HUMAN
DB00094,P23945,FSHR_HUMAN
DB00104,P30872,SSR1_HUMAN
DB00104,P35346,SSR5_HUMAN
DB00104,P21452,NK2R_HUMAN
DB00106,P30968,GNRHR_HUMAN
DB00107,P01178,NEU1_HUMAN
DB00107,P48147,PPCE_HUMAN
DB00109,Q12882,DPYD_HUMAN
DB00114,P35520,CBS_HUMAN
DB00114,Q9BYV1,AGT2_HUMAN
DB00114,Q99259,DCE1_HUMAN
DB00114,Q16719,KYNU_HUMAN
DB00114,P34896,GLYC_HUMAN
DB00114,Q9Y697,NFS1_HUMAN
DB00114,P17174,AATC_HUMAN
DB00114,P04181,OAT_HUMAN
DB00114,P11926,DCOR_HUMAN
DB00114,Q8N5Z0,AADAT_HUMAN
DB00114,P80404,GABT_HUMAN
DB00114,Q9NVS9,PNPO_HUMAN
DB00114,O95470,SGPL1_HUMAN
DB00114,P17735,ATTY_HUMAN
DB00114,Q16773,KAT1_HUMAN
DB00114,Q8IYQ7,THNSL_HUMAN
DB00114,P06737,PYGL_HUMAN
DB00114,O15270,LCB2_HUMAN
DB00114,Q9Y600,CSAD_HUMAN
DB00114,P19113,DCHS_HUMAN
DB00114,Q96A70,ADC_HUMAN
DB00114,P20132,SDHL_HUMAN
DB00114,O75600,KBL_HUMAN
DB00114,P23378,GCSP_HUMAN
DB00114,P24298,ALAT1_HUMAN
DB00114,Q9Y617,SERC_HUMAN
DB00114,P13196,HEM1_HUMAN
DB00114,P21549,SPYA_HUMAN
DB00114,Q96GD0,PLPP_HUMAN
DB00114,O15269,LCB1_HUMAN
DB00114,P54687,BCAT1_HUMAN
DB00114,O15382,BCAT2_HUMAN
DB00114,O95954,FTCD_HUMAN
DB00114,P00505,AATM_HUMAN
DB00114,P11216,PYGB_HUMAN
DB00114,P11217,PYGM_HUMAN
DB00114,P20711,DDC_HUMAN
DB00114,P34897,GLYM_HUMAN
DB00114,Q2TU84,Q2TU84_HUMAN
DB00114,Q49AK1,Q49AK1_HUMAN
DB00114,Q53ET4,Q53ET4_HUMAN
DB00114,Q53ET7,Q53ET7_HUMAN
DB00114,Q59FK2,Q59FK2_HUMAN
DB00114,Q59GM9,Q59GM9_HUMAN
DB00114,Q59HE2,Q59HE2_HUMAN
DB00114,Q5BJF5,Q5BJF5_HUMAN
DB00114,Q5HYG8,Q5HYG8_HUMAN
DB00114,Q5JAM2,Q5JAM2_HUMAN
DB00114,Q5JWL9,Q5JWL9_HUMAN
DB00114,Q5T7G6,Q5T7G6_HUMAN
DB00114,Q5VZ30,Q5VZ30_HUMAN
DB00114,Q5W5T9,Q5W5T9_HUMAN
